     x  	    sin(x*x)  	   sin'an(x)  	   sin''an(x)  	  'sk(x)  	  ''sk(x)
    0.00	    0.00	    0.00	    2.00	    0.01	    2.00
    0.01	    0.00	    0.02	    2.00	    0.03	    2.00
    0.02	    0.00	    0.04	    2.00	    0.05	    2.00
    0.03	    0.00	    0.06	    2.00	    0.07	    2.00
    0.04	    0.00	    0.08	    2.00	    0.09	    2.00
    0.05	    0.00	    0.10	    2.00	    0.11	    2.00
    0.06	    0.00	    0.12	    2.00	    0.13	    2.00
    0.07	    0.00	    0.14	    2.00	    0.15	    2.00
    0.08	    0.01	    0.16	    2.00	    0.17	    2.00
    0.09	    0.01	    0.18	    2.00	    0.19	    2.00
    0.10	    0.01	    0.20	    2.00	    0.21	    2.00
    0.11	    0.01	    0.22	    2.00	    0.23	    2.00
    0.12	    0.01	    0.24	    2.00	    0.25	    2.00
    0.13	    0.02	    0.26	    2.00	    0.27	    2.00
    0.14	    0.02	    0.28	    2.00	    0.29	    2.00
    0.15	    0.02	    0.30	    2.00	    0.31	    2.00
    0.16	    0.03	    0.32	    2.00	    0.33	    2.00
    0.17	    0.03	    0.34	    2.00	    0.35	    2.00
    0.18	    0.03	    0.36	    1.99	    0.37	    1.99
    0.19	    0.04	    0.38	    1.99	    0.39	    1.99
    0.20	    0.04	    0.40	    1.99	    0.41	    1.99
    0.21	    0.04	    0.42	    1.99	    0.43	    1.99
    0.22	    0.05	    0.44	    1.99	    0.45	    1.99
    0.23	    0.05	    0.46	    1.99	    0.47	    1.99
    0.24	    0.06	    0.48	    1.98	    0.49	    1.98
    0.25	    0.06	    0.50	    1.98	    0.51	    1.98
    0.26	    0.07	    0.52	    1.98	    0.53	    1.98
    0.27	    0.07	    0.54	    1.97	    0.55	    1.97
    0.28	    0.08	    0.56	    1.97	    0.57	    1.97
    0.29	    0.08	    0.58	    1.96	    0.59	    1.96
    0.30	    0.09	    0.60	    1.96	    0.61	    1.96
    0.31	    0.10	    0.62	    1.95	    0.63	    1.95
    0.32	    0.10	    0.64	    1.95	    0.65	    1.95
    0.33	    0.11	    0.66	    1.94	    0.67	    1.94
    0.34	    0.12	    0.68	    1.93	    0.69	    1.93
    0.35	    0.12	    0.69	    1.93	    0.70	    1.92
    0.36	    0.13	    0.71	    1.92	    0.72	    1.92
    0.37	    0.14	    0.73	    1.91	    0.74	    1.91
    0.38	    0.14	    0.75	    1.90	    0.76	    1.90
    0.39	    0.15	    0.77	    1.88	    0.78	    1.88
    0.40	    0.16	    0.79	    1.87	    0.80	    1.87
    0.41	    0.17	    0.81	    1.86	    0.82	    1.86
    0.42	    0.18	    0.83	    1.85	    0.84	    1.85
    0.43	    0.18	    0.85	    1.83	    0.85	    1.83
    0.44	    0.19	    0.86	    1.81	    0.87	    1.81
    0.45	    0.20	    0.88	    1.80	    0.89	    1.80
    0.46	    0.21	    0.90	    1.78	    0.91	    1.78
    0.47	    0.22	    0.92	    1.76	    0.93	    1.76
    0.48	    0.23	    0.93	    1.74	    0.94	    1.74
    0.49	    0.24	    0.95	    1.71	    0.96	    1.71
    0.50	    0.25	    0.97	    1.69	    0.98	    1.69
    0.51	    0.26	    0.99	    1.67	    0.99	    1.67
    0.52	    0.27	    1.00	    1.64	    1.01	    1.64
    0.53	    0.28	    1.02	    1.61	    1.03	    1.61
    0.54	    0.29	    1.03	    1.58	    1.04	    1.58
    0.55	    0.30	    1.05	    1.55	    1.06	    1.55
    0.56	    0.31	    1.07	    1.52	    1.07	    1.52
    0.57	    0.32	    1.08	    1.48	    1.09	    1.48
    0.58	    0.33	    1.09	    1.44	    1.10	    1.44
    0.59	    0.34	    1.11	    1.41	    1.12	    1.40
    0.60	    0.35	    1.12	    1.36	    1.13	    1.36
    0.61	    0.36	    1.14	    1.32	    1.14	    1.32
    0.62	    0.38	    1.15	    1.28	    1.16	    1.28
    0.63	    0.39	    1.16	    1.23	    1.17	    1.23
    0.64	    0.40	    1.17	    1.18	    1.18	    1.18
    0.65	    0.41	    1.19	    1.13	    1.19	    1.13
    0.66	    0.42	    1.20	    1.08	    1.20	    1.08
    0.67	    0.43	    1.21	    1.02	    1.21	    1.02
    0.68	    0.45	    1.22	    0.96	    1.22	    0.96
    0.69	    0.46	    1.23	    0.90	    1.23	    0.90
    0.70	    0.47	    1.24	    0.84	    1.24	    0.84
    0.71	    0.48	    1.24	    0.78	    1.25	    0.78
    0.72	    0.50	    1.25	    0.71	    1.25	    0.71
    0.73	    0.51	    1.26	    0.64	    1.26	    0.64
    0.74	    0.52	    1.26	    0.57	    1.27	    0.57
    0.75	    0.53	    1.27	    0.49	    1.27	    0.49
    0.76	    0.55	    1.27	    0.41	    1.28	    0.41
    0.77	    0.56	    1.28	    0.33	    1.28	    0.33
    0.78	    0.57	    1.28	    0.25	    1.28	    0.25
    0.79	    0.58	    1.28	    0.16	    1.28	    0.16
    0.80	    0.60	    1.28	    0.08	    1.28	    0.07
    0.81	    0.61	    1.28	   -0.02	    1.28	   -0.02
    0.82	    0.62	    1.28	   -0.11	    1.28	   -0.11
    0.83	    0.64	    1.28	   -0.21	    1.28	   -0.21
    0.84	    0.65	    1.28	   -0.31	    1.28	   -0.31
    0.85	    0.66	    1.28	   -0.41	    1.27	   -0.41
    0.86	    0.67	    1.27	   -0.52	    1.27	   -0.52
    0.87	    0.69	    1.26	   -0.63	    1.26	   -0.63
    0.88	    0.70	    1.26	   -0.74	    1.25	   -0.74
    0.89	    0.71	    1.25	   -0.85	    1.25	   -0.85
    0.90	    0.72	    1.24	   -0.97	    1.24	   -0.97
    0.91	    0.74	    1.23	   -1.09	    1.23	   -1.09
    0.92	    0.75	    1.22	   -1.21	    1.21	   -1.21
    0.93	    0.76	    1.21	   -1.34	    1.20	   -1.34
    0.94	    0.77	    1.19	   -1.46	    1.19	   -1.46
    0.95	    0.78	    1.18	   -1.59	    1.17	   -1.59
    0.96	    0.80	    1.16	   -1.73	    1.15	   -1.73
    0.97	    0.81	    1.14	   -1.86	    1.13	   -1.86
    0.98	    0.82	    1.12	   -2.00	    1.11	   -2.00
    0.99	    0.83	    1.10	   -2.14	    1.09	   -2.14
    1.00	    0.84	    1.08	   -2.29	    1.07	   -2.28
    1.01	    0.85	    1.06	   -2.43	    1.04	   -2.43
    1.02	    0.86	    1.03	   -2.58	    1.02	   -2.58
    1.03	    0.87	    1.01	   -2.73	    0.99	   -2.73
    1.04	    0.88	    0.98	   -2.88	    0.96	   -2.88
    1.05	    0.89	    0.95	   -3.03	    0.93	   -3.03
    1.06	    0.90	    0.92	   -3.19	    0.90	   -3.19
    1.07	    0.91	    0.88	   -3.34	    0.87	   -3.34
    1.08	    0.92	    0.85	   -3.50	    0.83	   -3.50
    1.09	    0.93	    0.81	   -3.66	    0.80	   -3.66
    1.10	    0.94	    0.78	   -3.82	    0.76	   -3.82
    1.11	    0.94	    0.74	   -3.98	    0.72	   -3.98
    1.12	    0.95	    0.70	   -4.15	    0.68	   -4.15
